#nzones
3

#numbers recaptured
186

#Rel.zn	Rel.yr	Rec.zn	Rec.yr
1	1994	1	1995
2	1993	3	1994
2	1994	1	1995
2	1994	1	1995
2	1994	2	1996
2	1994	2	1995
2	1994	2	1995
2	1995	2	1995
2	1995	3	1995
2	1995	2	1996
2	2012	2	2013
2	2013	2	2014
2	2013	3	2014
2	2013	3	2013
2	2013	3	2013
3	1993	3	1994
3	1993	3	1994
3	1993	3	1994
3	1993	3	1995
3	1993	3	1995
3	1994	3	1994
3	1994	3	1994
3	1994	3	1994
3	1994	3	1997
3	1994	3	1997
3	1994	3	1997
3	1994	3	1995
3	1994	3	1995
3	1994	3	1995
3	1994	3	1995
3	1994	3	1995
3	1994	3	1995
3	1994	3	1995
3	1994	3	1995
3	1994	3	1995
3	1994	1	1995
3	1994	3	1996
3	1994	3	1996
3	1994	3	1996
3	1994	3	2003
3	1995	3	1995
3	1995	3	1995
3	1995	3	1995
3	1995	3	1995
3	1995	3	1995
3	1995	3	1995
3	1995	3	1995
3	1995	3	1995
3	1995	3	1995
3	1995	3	1995
3	1995	3	1995
3	1995	3	1995
3	1995	3	1995
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1996
3	1995	3	1998
3	1995	3	1998
3	1995	3	1998
3	1995	3	1998
3	1995	3	1998
3	1995	3	1998
3	1995	3	1998
3	1995	3	1999
3	1995	3	1999
3	1995	3	1999
3	1995	3	1999
3	1995	3	2002
3	1995	3	1997
3	1995	3	1997
3	1995	3	1997
3	1995	3	1997
3	1995	3	1997
3	1995	3	1997
3	1995	3	1997
3	1995	3	1997
3	1995	3	1997
3	1995	3	1997
3	1995	3	1997
3	1995	3	1997
3	1995	3	1997
3	1995	3	1997
3	1995	3	1997
3	1995	3	1997
3	1995	3	1997
3	1995	3	1997
3	1995	3	1997
3	1995	3	1997
3	1995	3	1997
3	1995	3	1997
3	1995	3	1997
3	1995	3	2003
3	1995	3	2003
3	2012	2	2013
3	2012	3	2014
3	2012	3	2014
3	2012	3	2013
3	2012	3	2013
3	2012	3	2013
3	2012	3	2013
3	2012	3	2013
3	2012	3	2013
3	2012	3	2013
3	2012	3	2013
